Team,PlayerType,Player,PlayerUrl,TotalMatches,TotalPoints,TotalRaidPoints,TotalDefencePoints,TotalRaids,SuccRaids,UnSuccRaids,EmptyRaids,Tackles,SuccTackles,UnSuccTackles,GreenCards,RedCards,YellowCards
BengalWarriors,Raider,Deepak Narwal,/players/211-deepak-narwal-playerprofile,31,107,101,6,259,74,70,115,20,5,15,0,0,0
BengalWarriors,Raider,Jang Kun Lee,/players/12-jang-kun-lee-playerprofile,51,262,243,19,527,188,121,218,66,17,49,2,0,0
BengalWarriors,Raider,Maninder Singh,/players/143-maninder-singh-playerprofile,16,137,130,7,175,103,42,30,19,6,13,0,0,0
BengalWarriors,Defender,Rahul Kumar,/players/288-rahul-kumar-playerprofile,20,16,0,16,0,0,0,0,62,14,48,0,0,0
BengalWarriors,All Rounder,Bhupender Singh,/players/34-bhupender-singh-playerprofile,26,42,33,9,109,26,27,56,31,9,22,2,0,0
BengalWarriors,All Rounder,Ran Singh,/players/160-ran-singh-playerprofile,54,154,49,105,117,34,24,59,208,98,110,0,0,0
BengalWarriors,All Rounder,Ravindra Ramesh Kumavat,/players/370-ravindra-ramesh-kumavat-playerprofile,2,3,2,1,8,2,3,3,1,1,0,0,0,0
BengaluruBulls,Raider,Ajay Kumar,/players/389-ajay-kumar-playerprofile,15,61,61,0,107,44,23,40,7,0,7,1,0,0
BengaluruBulls,Raider,Gurvinder Singh,/players/46-gurvinder-singh-playerprofile,34,72,61,11,181,46,45,90,45,10,35,0,0,0
BengaluruBulls,Raider,Sinotharan Kanesharajah,/players/21-sinotharan-kanesharajah-playerprofile,3,6,5,1,8,2,1,5,2,1,1,0,0,0
BengaluruBulls,Raider,Sumit Singh,/players/363-sumit-singh-playerprofile,5,9,7,2,20,5,6,9,5,1,4,0,0,0
BengaluruBulls,Defender,Ravinder Pahal,/players/157-ravinder-pahal-playerprofile,48,164,12,152,51,7,7,37,290,139,151,7,0,0
BengaluruBulls,All Rounder,Ashish Kumar,/players/202-ashish-kumar-playerprofile,32,74,23,51,77,18,13,46,115,44,71,1,0,0
BengaluruBulls,All Rounder,Preetam Chhillar,/players/167-preetam-chhillar-playerprofile,42,38,12,26,42,8,12,22,85,26,59,2,0,1
DabangDelhi,Raider,Abolfaezl Maghsodlou Mahali,/players/300-abolfazl-maghsodlou-playerprofile,12,25,25,0,39,18,15,6,1,0,1,0,0,0
DabangDelhi,Raider,Ravi Dalal,/players/92-ravi-dalal-playerprofile,33,171,168,3,406,134,86,186,30,3,27,1,0,0
DabangDelhi,Raider,Rohit Baliyan,/players/261-rohit-baliyan-playerprofile,16,68,66,2,132,55,26,51,21,2,19,1,0,0
DabangDelhi,Raider,Suresu Kumar,/players/173-suresu-kumar-playerprofile,18,33,29,4,74,24,26,24,20,4,16,0,0,0
DabangDelhi,Defender,Bajirao Hodage,/players/164-bajirao-hodage-playerprofile,43,83,0,83,5,0,0,5,190,78,112,5,0,0
DabangDelhi,Defender,Nilesh Shinde,/players/73-nilesh-shinde-playerprofile,54,129,14,115,61,9,11,41,229,102,127,6,0,0
DabangDelhi,Defender,Sunil,/players/207-sunil-playerprofile,34,71,4,67,9,2,2,5,142,62,80,3,0,2
DabangDelhi,All Rounder,Rupesh Tomar,/players/97-rupesh-tomar-playerprofile,14,18,5,13,10,4,4,2,40,10,30,0,0,0
JaipurPinkPanthers,Raider,Jasvir Singh,/players/52-jasvir-singh-playerprofile,46,300,277,23,695,216,137,342,52,18,34,10,0,1
JaipurPinkPanthers,Raider,Pawan Kumar Kadian,/players/156-pawan-kumar-playerprofile,34,87,85,2,220,60,61,99,17,2,15,1,0,0
JaipurPinkPanthers,Raider,Selvamani K,/players/264-selvamani-k-playerprofile,31,98,97,1,222,72,39,111,16,1,15,0,0,0
